set_id,series_name,db_code,db_name,scrydex_id,scrydex_url,candidate_ids,status
dae17923-0c7c-4284-879c-826b529e970c,BWシリーズ,BGSv,ポケモンカードゲームBW バトルギフトセット「ボルトロスVSトルネロス」 （ボルトロスデッキ）,,,,UNRESOLVED_SET
53842470-3bf2-47c2-95fb-38fd74a60300,BWシリーズ,BKB,ポケモンカードゲームBW バトル強化デッキ60「ブラックキュレムEX」,,,,UNRESOLVED_SET
14e769cf-b7ff-4c5d-899c-223df4a09cb9,BWシリーズ,BKR,ポケモンカードゲームBW バトル強化デッキ60「レシラムEX」,,,,UNRESOLVED_SET
58f6dcfe-1da3-470b-8d10-a4dfe9a235ee,BWシリーズ,BKW,ポケモンカードゲームBW バトル強化デッキ60「ホワイトキュレムEX」,,,,UNRESOLVED_SET
f8cd910c-8e78-4a4a-80d5-0467adfc8ce9,BWシリーズ,BKZ,ポケモンカードゲームBW バトル強化デッキ60「ゼクロムEX」,,,,UNRESOLVED_SET
06d75e9b-c3c2-4c20-8f62-1800b6c6ed1b,BWシリーズ,BKc,ポケモンカードゲームBW バトル強化デッキ コバルオン,,,,UNRESOLVED_SET
c36fd29c-51d7-4fad-ac7b-f238870e4307,BWシリーズ,BKt,ポケモンカードゲームBW バトル強化デッキ テラキオン,,,,UNRESOLVED_SET
01f9f42d-01d4-4f9d-81c7-1387791c71aa,BWシリーズ,BKv,ポケモンカードゲームBW バトル強化デッキ ビリジオン,,,,UNRESOLVED_SET
6d1ae7c3-64c4-4912-8211-d7b16e114f98,BWシリーズ,BTV,ポケモンカードゲームBW バトルテーマデッキ「ビクティニ」,,,,UNRESOLVED_SET
22b27a8f-adcc-4806-afd4-f6cdf8afba1f,BWシリーズ,CS1m,ポケモンカードゲームBW コレクションシート 旅立ちの仲間 ミジュマル,,,,UNRESOLVED_SET
853adb35-1890-4fd2-9969-7ab871a0570a,BWシリーズ,DS,ポケモンカードゲームBW 拡張パック「ドラゴンセレクション」,ds1_ja,https://scrydex.com/pokemon/expansions/dragon-selection/ds1_ja,ds1_ja,MAPPED
