id,name,code,release_date,created_at,tcgdex_series_id,series_name,image_url
93e0d97f-e497-44bb-ae2e-ca089a30cc20,ポケモンカードゲームDPtギフトボックス（ポッチャマデッキ）,DPt-GBpo,,2026-08-28 06:27:56.746467+00:00,,DP・DPtシリーズ,
51b6100b-6d17-46f3-8125-ec0f110b80d4,ポケモンカードゲームDPt 拡張パック「ギンガの覇道」,DPt1-B,,2026-08-28 06:27:56.898866+00:00,,DP・DPtシリーズ,
ed547f6b-b2d5-4c80-a4de-dc97a8da7bbb,ポケモンカードゲームDPt 対戦スターターパックSP「ゴウカザルVSエルレイド」（エルレイドデッキ）,DPt2-Se,,2026-08-28 06:27:57.077549+00:00,,DP・DPtシリーズ,
da1a3e9d-2cc8-4a8a-be4d-c40e75825d91,ポケモンカードゲームDPt 拡張パック「フロンティアの鼓動」,DPt3-B,,2026-08-28 06:27:57.241153+00:00,,DP・DPtシリーズ,
d588cc21-ae9e-4081-84f8-7fc9861a1e21,ポケモンカードゲームDPt 対戦スターターパックSP「ガブリアスVSリザードン」（リザードンデッキ）,DPt3-Sl,,2026-08-28 06:27:57.396093+00:00,,DP・DPtシリーズ,
ca8606e8-5e38-487c-a395-ff5a4c3eda53,ポケモンカードゲームDPt 構築スタンダードデッキ「アルセウスLV.X草＆炎」,DPt4-Sgf,,2026-08-28 06:27:57.551130+00:00,,DP・DPtシリーズ,
f6893609-ebf8-437b-a6a8-9cf48aa6df76,ジム☆チャレンジ2009,DPtP,,2026-08-28 06:27:57.706903+00:00,,DP・DPtシリーズ,
b98bdccc-6122-463a-b28c-5d521e2c1410,ポケモンカードゲーム サン&ムーン「スターターセット改造「カプ・ブルルGX」」,SMC,,2026-08-28 06:28:03.073219+00:00,,SMシリーズ,
2d50e5bd-52eb-459d-b77e-7fea75585405,ポケモンカードゲーム サン＆ムーン スターターセット伝説「ソルガレオGX ルナアーラGX」,SME,,2026-08-28 06:28:03.227408+00:00,,SMシリーズ,
fd9a54c8-786f-4ca7-8759-df936d1e3b47,ポケモンカードゲーム サン&ムーン デッキビルドBOX「ウルトラムーン」,SMG,,2026-08-28 06:28:03.389395+00:00,,SMシリーズ,
2201afc3-a1ac-4a55-bac9-f9c89f1e396d,スターターセット「炎のブースターGX」,SMI,,2026-08-28 06:28:03.548847+00:00,,SMシリーズ,
5a4b835d-0235-4be2-9401-48d079eba101,ポケモンカードゲーム チャンピオンズリーグ2018,SMP,,2026-08-28 06:28:04.049179+00:00,,プロモ,
c6522ec9-d5e5-4d79-b9e6-68f4e2fa2ac7,ムービースペシャルパック「名探偵ピカチュウ」,SMP2,,2026-08-28 06:28:04.206645+00:00,,SMシリーズ,
ec92a963-3bd6-466b-8100-fd62088805ad,ポケモンカードゲームXY BREAK 進化パック「ライチュウBREAK」,SNPr,,2026-08-28 06:28:04.358460+00:00,,ソード・シールド,
22f4adbe-de74-45a3-aca0-8280835d2063,「ザシアン＋ザマゼンタBOX」,SP1,,2026-08-28 06:28:04.526895+00:00,,ソード・シールド,
